"","subject_name","stim_type","task_type","resp_category","resp_confidence","resp_correct","stim_orientation","stim_reliability","stim_category","stim_phase","block_number","stim_frequency","stim_reliability_level","cat1_evidence","cat2_evidence","evi_cat2","evi_allcat","visual_mostevidence","r"
"1",1,"audio","Task B ",2,4,1,0,0.00019,2,186.4576551,0,-1.64598461018323,3,3.60188062588073e-08,0.000391492224060135,0.999908004577154,0.999908004577154,0,8
"2",1,"audio","Task B ",2,2,1,0,0.00041,2,68.54786327,0,0.704674603196818,4,0.000415391566558584,0.0007024148149165,0.628386835642839,0.628386835642839,0,6
"3",1,"audio","Task B ",1,3,1,0,0.00019,1,287.8641154,0,0.436797255120511,3,0.00146971036008599,0.00076013729822366,0.340892031521062,0.659107968478938,0,2
"4",1,"audio","Task B ",1,2,1,0,9e-05,1,191.3306219,0,0.469199075054348,2,0.00130223119909745,0.000754411090332466,0.366816871465569,0.633183128534431,0,3
"5",1,"audio","Task B ",2,3,1,0,4e-05,2,28.70895001,0,-1.17265066045941,1,9.67614818412986e-06,0.000555324027976596,0.982874079350062,0.982874079350062,0,7
"6",1,"audio","Task B ",2,3,1,0,4e-05,2,332.660967,0,-1.64346297800018,1,3.72926436027419e-08,0.00039234354007261,0.999904958039503,0.999904958039503,0,7
"7",2,"audio","Task B ",2,1,1,0,9e-05,2,177.4289684,0,1.41628881348244,2,7.88449532570209e-07,0.000474775638969216,0.998342075123767,0.998342075123767,0,5
"8",2,"audio","Task B ",2,1,1,0,0.00019,2,22.60660968,0,-2.42130775754923,3,6.63904095139284e-14,0.000171522714989005,0.999999999612935,0.999999999612935,0,5
"9",2,"audio","Task B ",2,1,0,0,4e-05,1,210.9589701,0,0.00530078015582973,1,0.00319153441076345,0.000797884500920832,0.200000180122467,0.799999819877533,0,5
"10",2,"audio","Task B ",1,2,0,0,0.00041,2,349.4900883,0,-0.0466847108940659,4,0.0031549911339665,0.000797310424099109,0.20173319580638,0.79826680419362,0,3
"11",2,"audio","Task B ",2,3,1,0,0.00041,2,197.1792988,0,-3.09673619358266,4,1.1213927383683e-20,6.47217001245117e-05,1,1,0,7
"12",2,"audio","Task B ",1,2,1,0,0.00041,1,293.0864696,0,0.36181032320923,4,0.00188031645032194,0.000771932795492761,0.291048360824642,0.708951639175358,0,3
"13",3,"audio","Task B ",1,3,1,0,4e-05,1,149.8989634,0,-0.332030585757659,1,0.00198157117820804,0.000774467438264469,0.281007469792176,0.718992530207824,0,2
"14",3,"audio","Task B ",2,4,1,0,0.00041,2,302.3203777,0,1.76495377326501,4,7.81489712123389e-09,0.000355834261870991,0.999978038299483,0.999978038299483,0,8
"15",3,"audio","Task B ",1,3,0,0,9e-05,2,115.2665834,0,0.0483044532537788,2,0.00316759684314412,0.000797509154611112,0.20113186256877,0.79886813743123,0,2
"16",3,"audio","Task B ",2,4,1,0,0.00019,2,201.5023284,0,1.51453298667982,3,2.38097166662346e-07,0.00044054187654208,0.999459827621797,0.999459827621797,0,8
"17",3,"audio","Task B ",1,3,1,0,0.00019,1,183.9800622,0,0.102127071293852,3,0.00307035121716115,0.00079595645986412,0.205869921991446,0.794130078008554,0,2
"18",3,"audio","Task B ",2,3,1,0,0.00019,2,132.5529053,0,1.76259733525653,3,8.08995147772403e-09,0.000356604384008013,0.999977314446161,0.999977314446161,0,7
"19",4,"audio","Task B ",1,1,1,0,4e-05,1,359.2481534,0,0.219771554779895,1,0.00263640085191244,0.000788412086353213,0.230205882938667,0.769794117061333,0,4
"20",4,"audio","Task B ",1,1,0,0,4e-05,2,241.9187751,0,1.94027312708646,1,5.23302734713989e-10,0.000300512209030345,0.999998258633734,0.999998258633734,0,4
