subject_name,stim_type,task_type,resp_category,resp_confidence,resp_correct,stim_orientation,stim_reliability,stim_category,stim_phase,block_number,stim_frequency,stim_reliability_level,r
1,audio,Task B ,2,4,1,0,0.00019,2,186.4576551,0,-1.645984609,3,8
1,audio,Task B ,2,2,1,0,0.00041,2,68.54786327,0,0.704674604,4,6
1,audio,Task B ,1,3,1,0,0.00019,1,287.8641154,0,0.436797256,3,2
1,audio,Task B ,1,2,1,0,9.00E-05,1,191.3306219,0,0.469199076,2,3
1,audio,Task B ,2,3,1,0,4.00E-05,2,28.70895001,0,-1.172650661,1,7
1,audio,Task B ,2,3,1,0,4.00E-05,2,332.660967,0,-1.643462977,1,7
2,audio,Task B ,2,1,1,0,9.00E-05,2,177.4289684,0,1.416288813,2,5
2,audio,Task B ,2,1,1,0,0.00019,2,22.60660968,0,-2.421307759,3,5
2,audio,Task B ,2,1,0,0,4.00E-05,1,210.9589701,0,0.005300781,1,5
2,audio,Task B ,1,2,0,0,0.00041,2,349.4900883,0,-0.04668471,4,3
2,audio,Task B ,2,3,1,0,0.00041,2,197.1792988,0,-3.096736193,4,7
2,audio,Task B ,1,2,1,0,0.00041,1,293.0864696,0,0.361810323,4,3
3,audio,Task B ,1,3,1,0,4.00E-05,1,149.8989634,0,-0.332030586,1,2
3,audio,Task B ,2,4,1,0,0.00041,2,302.3203777,0,1.764953773,4,8
3,audio,Task B ,1,3,0,0,9.00E-05,2,115.2665834,0,0.048304452,2,2
3,audio,Task B ,2,4,1,0,0.00019,2,201.5023284,0,1.514532987,3,8
3,audio,Task B ,1,3,1,0,0.00019,1,183.9800622,0,0.102127072,3,2
3,audio,Task B ,2,3,1,0,0.00019,2,132.5529053,0,1.762597336,3,7
4,audio,Task B ,1,1,1,0,4.00E-05,1,359.2481534,0,0.219771555,1,4
4,audio,Task B ,1,1,0,0,4.00E-05,2,241.9187751,0,1.940273128,1,4
4,audio,Task B ,1,1,0,0,9.00E-05,2,282.6576629,0,0.276678136,2,4
4,audio,Task B ,1,2,1,0,0.00019,1,97.09033291,0,0.261312801,3,3
4,audio,Task B ,1,2,1,0,9.00E-05,1,228.0188526,0,0.446080394,2,3
4,audio,Task B ,1,2,0,0,9.00E-05,2,10.52177099,0,-0.982228544,2,3
5,audio,Task B ,2,1,0,0,4.00E-05,1,35.01907986,0,-0.382011248,1,5
5,audio,Task B ,2,1,1,0,9.00E-05,2,350.4641129,0,-0.090415218,2,5
5,audio,Task B ,2,3,0,0,0.00041,1,123.3533207,0,-0.252975229,4,7
5,audio,Task B ,2,2,1,0,4.00E-05,2,288.6308394,0,-2.572962671,1,6
5,audio,Task B ,1,2,1,0,0.00019,1,292.436475,0,-0.115236203,3,3
5,audio,Task B ,1,3,1,0,0.00019,1,283.4539944,0,0.397579816,3,2
