subject_name,stim_type,task_type,resp_category,resp_confidence,resp_correct,stim_orientation,stim_reliability,stim_category,stim_phase,block_number,stim_frequency,stim_reliability_level,r
1,bimodal,Task B ,1,2,1,0.085483766,1,1,306.6360692,1,-0.564904108,1,3
1,bimodal,Task B ,2,2,0,-0.621146837,3,1,304.1420608,2,0.323218665,3,6
1,bimodal,Task B ,1,4,1,0.077061419,3,1,144.9971372,3,-0.149430887,3,1
1,bimodal,Task B ,1,4,1,-0.246497164,4,1,146.5599234,4,-0.11806117,4,1
1,bimodal,Task B ,1,4,1,-0.147388453,4,1,120.0732726,5,0.287843568,4,1
1,bimodal,Task B ,1,3,1,-1.77E-05,2,1,32.01485908,6,0.075228083,2,2
2,bimodal,Task B ,1,3,0,-0.753129296,2,2,39.93219486,1,-0.141869362,2,2
2,bimodal,Task B ,2,3,1,-1.869935421,4,2,25.89971421,2,0.025991788,4,7
2,bimodal,Task B ,1,2,0,-0.005498552,2,2,207.499309,3,-2.012510707,2,3
2,bimodal,Task B ,1,1,0,-0.666551926,1,2,213.1535039,4,-0.50353119,1,4
2,bimodal,Task B ,1,2,0,0.847602434,2,2,277.6151173,5,-0.107160899,2,3
2,bimodal,Task B ,2,4,1,-2.90017208,2,2,9.523184387,6,1.573342314,2,8
3,bimodal,Task B ,2,4,1,-2.339261601,3,2,239.2477034,1,1.701994744,3,8
3,bimodal,Task B ,2,4,1,-2.005200281,3,2,212.7774274,2,0.122026442,3,8
3,bimodal,Task B ,1,4,1,-0.111764805,3,1,231.4001905,3,-0.101351095,3,1
3,bimodal,Task B ,1,3,1,0.264761285,3,1,226.1972914,4,-0.41028872,3,2
3,bimodal,Task B ,2,1,1,-0.876494481,2,2,25.71570393,5,1.903685114,2,5
3,bimodal,Task B ,1,4,1,0.394026105,2,1,169.0148726,6,-0.232803683,2,1
4,bimodal,Task B ,1,3,0,-0.928009156,2,2,198.429522,1,0.701748037,2,2
4,bimodal,Task B ,1,2,1,-0.155940494,2,1,111.6709338,2,0.190250252,2,3
4,bimodal,Task B ,1,2,1,0.274070144,3,1,146.7187624,3,0.204637941,3,3
4,bimodal,Task B ,1,3,1,0.564175126,4,1,262.1584396,4,0.222039555,4,2
4,bimodal,Task B ,1,3,1,0.523004063,2,1,260.0879659,5,0.120838511,2,2
4,bimodal,Task B ,1,1,1,0.161351004,3,1,11.65000456,6,0.079700865,3,4
5,bimodal,Task B ,1,2,1,1.122770509,3,1,241.9518836,1,0.073212111,3,3
5,bimodal,Task B ,1,4,0,0.380938277,1,2,314.3035228,2,0.05004562,1,1
5,bimodal,Task B ,1,2,0,0.616990611,3,2,219.5685768,3,0.368257294,3,3
5,bimodal,Task B ,1,2,1,-0.425718957,1,1,34.93403303,4,-0.072545489,1,3
5,bimodal,Task B ,2,3,1,-1.808301967,4,2,186.0978625,5,-0.942838665,4,7
5,bimodal,Task B ,2,4,1,-2.105827138,1,2,355.3609238,6,0.482340655,1,8
6,bimodal,Task B ,1,3,1,-0.107545599,3,1,261.5188739,1,0.075397298,3,2
6,bimodal,Task B ,1,1,1,0.141624211,1,1,326.53037,2,-0.272906666,1,4
6,bimodal,Task B ,1,2,0,-0.705067265,3,2,206.1048153,3,1.282663125,3,3
6,bimodal,Task B ,1,2,1,-0.089275066,4,1,44.30809216,4,0.577896597,4,3
6,bimodal,Task B ,1,2,1,-0.072952285,2,1,22.70491838,5,-0.458652863,2,3
6,bimodal,Task B ,1,2,0,-0.619202371,4,2,164.8681618,6,-0.703872364,4,3
7,bimodal,Task B ,1,2,1,-0.41944142,4,1,9.688367086,1,-0.377240981,4,3
7,bimodal,Task B ,1,4,0,0.62880132,4,2,131.6119102,2,1.839874692,4,1
7,bimodal,Task B ,1,1,0,0.203885997,3,2,303.8449634,3,-0.261092345,3,4
7,bimodal,Task B ,1,1,1,-0.093329315,1,1,309.2290842,4,0.120305719,1,4
7,bimodal,Task B ,1,4,1,0.387464485,4,1,276.8923996,5,0.296177187,4,1
7,bimodal,Task B ,2,1,1,-3.033591672,1,2,96.81197757,6,-1.122726905,1,5
8,bimodal,Task B ,2,1,0,0.06217214,4,1,135.9091529,1,0.442889451,4,5
8,bimodal,Task B ,1,4,1,-0.074910443,2,1,40.94500375,2,-0.098469222,2,1
8,bimodal,Task B ,2,4,1,-0.953385255,4,2,328.7742561,3,1.227550033,4,8
8,bimodal,Task B ,2,4,0,0.723826762,4,1,86.61066844,4,-0.108959063,4,8
8,bimodal,Task B ,1,4,1,0.104988156,4,1,19.207578,5,0.497890966,4,1
8,bimodal,Task B ,1,4,1,0.224152264,2,1,283.3682847,6,0.128176248,2,1
9,bimodal,Task B ,1,1,0,2.709714278,3,2,90.20652102,1,2.097860366,3,4
9,bimodal,Task B ,1,1,1,-0.134369134,2,1,349.359525,2,-0.332338132,2,4
9,bimodal,Task B ,2,3,1,0.960014804,4,2,125.9005702,3,0.497409488,4,7
9,bimodal,Task B ,1,2,1,0.457849136,3,1,17.3305811,4,-0.074313899,3,3
9,bimodal,Task B ,1,1,1,0.176830052,1,1,330.3716822,5,-0.077252395,1,4
9,bimodal,Task B ,1,1,1,0.492476801,2,1,250.5788912,6,0.394900727,2,4
10,bimodal,Task B ,1,1,1,-0.417572636,3,1,185.548412,1,-0.612785339,3,4
10,bimodal,Task B ,2,1,1,-1.80011762,1,2,118.9746015,2,-0.616140825,1,5
10,bimodal,Task B ,1,1,1,-0.392561725,1,1,264.857772,3,0.290574393,1,4
10,bimodal,Task B ,1,1,0,0.140792565,2,2,59.41815219,4,1.601115605,2,4
10,bimodal,Task B ,2,1,1,0.682350641,3,2,347.844324,5,2.66105012,3,5
10,bimodal,Task B ,1,1,0,0.061149111,1,2,150.0518736,6,0.286081006,1,4
1,bimodal,Task B ,1,2,0,-1.059494507,1,2,180.5906723,1,-2.238089739,1,3
1,bimodal,Task B ,1,3,0,0.365387047,3,2,222.5439691,2,-0.040210828,3,2
1,bimodal,Task B ,1,4,1,-0.200298932,4,1,217.5643947,3,0.193792999,4,1
1,bimodal,Task B ,1,4,1,-0.146753743,3,1,166.6234866,4,-0.191547242,3,1
1,bimodal,Task B ,1,4,1,0.124819087,3,1,90.81616428,5,-0.03090346,3,1
1,bimodal,Task B ,1,4,1,0.389203414,4,1,312.1689542,6,-0.385412454,4,1
2,bimodal,Task B ,2,2,0,-0.156596453,3,1,249.1839114,1,-0.043463133,3,6
2,bimodal,Task B ,2,3,1,-0.890263286,4,2,341.2457489,2,1.812524523,4,7
2,bimodal,Task B ,1,2,1,0.233693361,2,1,47.16768653,3,0.205508494,2,3
2,bimodal,Task B ,2,2,1,-0.772081151,3,2,326.0867629,4,-0.624746711,3,6
2,bimodal,Task B ,2,2,1,-2.059293356,3,2,187.8547367,5,0.303312531,3,6
2,bimodal,Task B ,1,2,1,-0.289596927,4,1,56.14249222,6,0.441678321,4,3
3,bimodal,Task B ,2,4,1,-1.375389317,2,2,54.98952698,1,-2.102101216,2,8
3,bimodal,Task B ,1,3,1,0.375031936,1,1,210.2695384,2,0.31370105,1,2
3,bimodal,Task B ,2,1,1,-1.04669684,2,2,187.7968741,3,-0.976792155,2,5
3,bimodal,Task B ,2,4,1,1.790994338,4,2,281.673727,4,1.906896764,4,8
3,bimodal,Task B ,1,3,0,-0.269110614,3,2,116.7390428,5,0.670897946,3,2
3,bimodal,Task B ,2,1,0,0.178326291,1,1,48.04870648,6,-0.036939097,1,5
4,bimodal,Task B ,1,4,1,0.155469684,4,1,173.9404442,1,0.07314265,4,1
4,bimodal,Task B ,1,1,0,-0.318987124,1,2,125.1581222,2,0.8957177,1,4
4,bimodal,Task B ,1,2,1,-0.44767528,1,1,171.2697014,3,0.051932685,1,3
4,bimodal,Task B ,2,4,1,0.430383454,4,2,49.53834449,4,-1.619570903,4,8
4,bimodal,Task B ,2,4,1,2.768800874,4,2,128.1805168,5,0.96477769,4,8
4,bimodal,Task B ,1,1,1,0.334452815,2,1,3.064795254,6,0.53492424,2,4
5,bimodal,Task B ,2,4,1,-2.195687822,1,2,323.0295956,1,0.060977188,1,8
5,bimodal,Task B ,1,4,1,-0.267218688,4,1,112.5183662,2,0.030699244,4,1
5,bimodal,Task B ,2,4,1,-1.241712041,4,2,151.4971718,3,-1.073943575,4,8
5,bimodal,Task B ,1,4,1,-0.326874482,4,1,10.77231235,4,0.10652287,4,1
5,bimodal,Task B ,2,4,1,1.627768465,3,2,47.46435369,5,-0.404890933,3,8
5,bimodal,Task B ,1,3,0,-0.587674594,3,2,352.4169892,6,0.250555888,3,2
6,bimodal,Task B ,2,1,0,-0.27297239,3,1,14.72202447,1,-0.611353431,3,5
6,bimodal,Task B ,2,2,1,1.804886609,3,2,322.9404933,2,0.223823093,3,6
6,bimodal,Task B ,2,2,1,-3.300094324,3,2,57.59785902,3,-2.869124891,3,6
6,bimodal,Task B ,1,2,0,0.348185455,2,2,130.8495824,4,-3.502069328,2,3
6,bimodal,Task B ,1,1,0,0.511202872,3,2,351.2439314,5,2.100181553,3,4
6,bimodal,Task B ,2,2,1,-0.712464651,4,2,173.0403396,6,-1.761972102,4,6
7,bimodal,Task B ,1,4,1,-0.27088729,1,1,94.73237214,1,0.458658723,1,1
7,bimodal,Task B ,1,1,1,0.705541117,1,1,283.2236095,2,-0.280640156,1,4
7,bimodal,Task B ,2,1,1,0.016757023,3,2,0.178661658,3,-2.85344857,3,5
7,bimodal,Task B ,1,4,1,-0.273404607,4,1,172.0722115,4,-0.519849372,4,1
7,bimodal,Task B ,2,4,1,-1.246589494,3,2,122.0129523,5,1.97935179,3,8
7,bimodal,Task B ,1,4,0,-0.326052564,4,2,254.3815515,6,2.822155549,4,1
8,bimodal,Task B ,1,4,1,-0.204349586,4,1,337.6644124,1,0.063454087,4,1
8,bimodal,Task B ,1,4,1,-0.379087491,3,1,94.67374789,2,-0.514155797,3,1
8,bimodal,Task B ,2,1,1,0.135471236,1,2,180.4623427,3,-1.426614711,1,5
8,bimodal,Task B ,1,4,0,0.450061215,3,2,235.2554807,4,1.598655793,3,1
8,bimodal,Task B ,1,4,1,-0.227122783,3,1,242.5554892,5,-0.10973874,3,1
8,bimodal,Task B ,1,4,1,0.274186583,3,1,182.9987626,6,0.451580759,3,1
9,bimodal,Task B ,2,3,1,-1.058122527,2,2,249.6404028,1,-1.562525469,2,7
9,bimodal,Task B ,1,1,0,1.008379524,3,2,159.9931641,2,1.415318258,3,4
9,bimodal,Task B ,1,1,1,-0.162619397,4,1,115.7201502,3,0.065334977,4,4
9,bimodal,Task B ,2,2,1,1.844441274,3,2,300.3097855,4,0.099245763,3,6
9,bimodal,Task B ,2,2,1,1.097225837,4,2,117.4136781,5,-0.947458218,4,6
9,bimodal,Task B ,1,1,1,0.265774865,3,1,146.0297732,6,-0.023958353,3,4
10,bimodal,Task B ,1,1,1,0.384106095,1,1,147.2541764,1,-0.075192064,1,4
10,bimodal,Task B ,1,2,1,0.509032179,1,1,356.4034864,2,-0.032754937,1,3
10,bimodal,Task B ,1,2,1,0.024544306,2,1,92.17348065,3,-0.142947135,2,3
10,bimodal,Task B ,1,1,1,-0.00308819,1,1,33.15011013,4,0.295062035,1,4
10,bimodal,Task B ,2,2,1,2.764454887,3,2,328.9882145,5,1.203940841,3,6
10,bimodal,Task B ,1,1,1,-0.224398403,3,1,257.3181426,6,-0.535930202,3,4
1,bimodal,Task B ,1,3,0,-0.744551779,3,2,305.6563246,1,0.787866091,3,2
1,bimodal,Task B ,1,2,1,-0.335725358,2,1,154.8768245,2,-0.647758418,2,3
1,bimodal,Task B ,1,3,1,-0.481948176,2,1,209.4821871,3,0.022609437,2,2
1,bimodal,Task B ,2,1,1,0.709852234,2,2,207.0404256,4,1.84244193,2,5
1,bimodal,Task B ,2,1,0,-0.280480971,2,1,286.5431819,5,0.186235758,2,5
1,bimodal,Task B ,1,3,1,-0.225625994,4,1,14.82995033,6,0.482122321,4,2
2,bimodal,Task B ,1,2,1,-0.344524624,4,1,53.00501853,1,-0.380477664,4,3
2,bimodal,Task B ,1,3,1,-0.273246334,4,1,56.44585214,2,-0.215609997,4,2
2,bimodal,Task B ,2,1,0,-0.004668401,1,1,357.2549484,3,-0.278473262,1,5
2,bimodal,Task B ,1,2,1,0.424497842,1,1,206.6495135,4,-0.222292533,1,3
2,bimodal,Task B ,1,2,1,0.129870328,3,1,167.8822868,5,-0.126123726,3,3
2,bimodal,Task B ,1,3,1,0.201733839,3,1,109.4525446,6,-0.035537261,3,2
3,bimodal,Task B ,1,3,1,-0.143801822,4,1,339.728474,1,-0.072386961,4,2
3,bimodal,Task B ,2,1,0,0.751945043,1,1,352.5583532,2,0.250710074,1,5
3,bimodal,Task B ,1,3,1,-0.297828168,2,1,94.02548362,3,0.010425927,2,2
3,bimodal,Task B ,2,1,1,1.236904643,2,2,70.57078664,4,-0.962730224,2,5
3,bimodal,Task B ,2,1,1,-0.397649566,3,2,335.2785733,5,2.22915756,3,5
3,bimodal,Task B ,2,3,1,1.618497544,4,2,352.0254036,6,1.672706358,4,7
4,bimodal,Task B ,1,3,1,-0.391822031,4,1,292.034278,1,-0.164734055,4,2
4,bimodal,Task B ,1,1,1,-0.046151879,2,1,13.23312012,2,0.077961479,2,4
4,bimodal,Task B ,1,3,1,-0.016459323,4,1,295.5481626,3,0.371043848,4,2
4,bimodal,Task B ,1,1,1,-0.000639225,1,1,149.902906,4,0.066135179,1,4
4,bimodal,Task B ,1,3,1,-0.267634012,4,1,110.4541453,5,0.282690178,4,2
4,bimodal,Task B ,2,1,1,1.547047149,2,2,324.2006449,6,-1.638807109,2,5
5,bimodal,Task B ,1,2,0,-0.890348521,4,2,99.65705743,1,-0.430595377,4,3
5,bimodal,Task B ,2,4,1,-1.88285622,1,2,274.2909293,2,0.722149445,1,8
5,bimodal,Task B ,2,4,1,-1.158654954,2,2,201.9936776,3,1.871377444,2,8
5,bimodal,Task B ,1,2,0,-1.012626465,2,2,67.4634454,4,0.950385591,2,3
5,bimodal,Task B ,2,4,1,0.697309797,3,2,275.4368179,5,1.744678367,3,8
5,bimodal,Task B ,1,2,1,-0.175801967,1,1,160.245314,6,-0.256442511,1,3
6,bimodal,Task B ,2,1,0,0.215145017,2,1,51.41086721,1,0.456722925,2,5
6,bimodal,Task B ,2,2,0,-0.185381201,3,1,199.2328869,2,0.120250454,3,6
6,bimodal,Task B ,1,2,1,-0.374633863,1,1,341.2073903,3,-0.825680541,1,3
6,bimodal,Task B ,1,2,0,0.11581306,1,2,210.1607295,4,-0.534178978,1,3
6,bimodal,Task B ,2,2,1,-0.821070356,4,2,189.3855754,5,-0.350655164,4,6
6,bimodal,Task B ,2,2,1,2.056823175,4,2,125.5706328,6,-0.543464746,4,6
7,bimodal,Task B ,1,1,0,0.801698637,3,2,116.7408482,1,-1.153144091,3,4
7,bimodal,Task B ,2,1,1,-3.114141823,3,2,318.9479645,2,0.037524218,3,5
