subject_name,stim_type,task_type,resp_category,resp_confidence,resp_correct,stim_orientation,stim_reliability,stim_category,stim_phase,block_number,stim_frequency,stim_reliability_level,r
1,grate,Task B ,2,2,1,-0.780708441,0.135,2,112.6457452,0,0,4,6
1,grate,Task B ,1,4,1,-0.179783758,0.135,1,234.0149921,0,0,4,1
1,grate,Task B ,1,3,1,0.55903986,0.05,1,289.848422,0,0,2,2
1,grate,Task B ,1,1,0,-1.012914343,0.033,2,119.3076894,0,0,1,4
1,grate,Task B ,2,4,1,1.815593704,0.135,2,40.56981637,0,0,4,8
1,grate,Task B ,1,2,0,1.437750311,0.033,2,153.8716083,0,0,1,3
2,grate,Task B ,1,1,1,0.392355713,0.05,1,8.335031625,0,0,2,4
2,grate,Task B ,1,1,0,-1.212691236,0.067,2,228.5483699,0,0,3,4
2,grate,Task B ,2,2,0,0.227748972,0.067,1,331.532549,0,0,3,6
2,grate,Task B ,1,1,0,-0.438036907,0.033,2,169.7985379,0,0,1,4
2,grate,Task B ,2,2,1,0.817309633,0.05,2,292.6490698,0,0,2,6
2,grate,Task B ,1,2,1,-0.626251042,0.067,1,26.4886867,0,0,3,3
3,grate,Task B ,1,3,1,-0.173405715,0.067,1,181.8665399,0,0,3,2
3,grate,Task B ,2,1,1,-1.059897649,0.033,2,278.2519724,0,0,1,5
3,grate,Task B ,2,4,1,0.437369663,0.067,2,279.7888161,0,0,3,8
3,grate,Task B ,2,4,1,-0.730787094,0.067,2,22.0861006,0,0,3,8
3,grate,Task B ,1,3,0,0.190683284,0.135,2,99.93678113,0,0,4,2
3,grate,Task B ,2,1,1,1.451637377,0.05,2,193.4807462,0,0,2,5
4,grate,Task B ,1,1,1,-0.279112818,0.067,1,79.50148437,0,0,3,4
4,grate,Task B ,1,1,0,-0.913894594,0.033,2,167.1577223,0,0,1,4
4,grate,Task B ,1,1,1,-0.055847846,0.033,1,296.9238807,0,0,1,4
4,grate,Task B ,1,4,0,-1.85962049,0.05,2,34.91827124,0,0,2,1
4,grate,Task B ,1,1,0,1.033346647,0.033,2,226.6900524,0,0,1,4
4,grate,Task B ,2,4,1,0.352118256,0.135,2,213.2496595,0,0,4,8
5,grate,Task B ,2,3,0,-0.617750834,0.135,1,12.94958527,0,0,4,7
5,grate,Task B ,1,3,1,-0.243281103,0.05,1,177.1495846,0,0,2,2
5,grate,Task B ,1,4,0,-0.099046158,0.135,2,104.9993315,0,0,4,1
5,grate,Task B ,2,4,1,1.301773357,0.067,2,123.4925827,0,0,3,8
5,grate,Task B ,1,4,1,-0.250239363,0.05,1,50.28542827,0,0,2,1
5,grate,Task B ,1,2,0,0.413927377,0.135,2,178.5073032,0,0,4,3
6,grate,Task B ,2,2,0,0.448899588,0.067,1,24.20603496,0,0,3,6
6,grate,Task B ,1,3,0,-0.679802974,0.033,2,230.2361456,0,0,1,2
6,grate,Task B ,1,3,0,0.63768578,0.067,2,316.6999079,0,0,3,2
6,grate,Task B ,1,3,0,0.467427084,0.05,2,278.5571054,0,0,2,2
6,grate,Task B ,1,3,1,0.022017195,0.067,1,3.330936059,0,0,3,2
6,grate,Task B ,2,1,0,-0.127754399,0.033,1,66.17556596,0,0,1,5
7,grate,Task B ,1,1,1,0.1601789,0.135,1,181.0076054,0,0,4,4
7,grate,Task B ,1,4,0,-0.585332037,0.033,2,0.365903558,0,0,1,1
7,grate,Task B ,1,1,1,0.0302273,0.033,1,248.0406861,0,0,1,4
7,grate,Task B ,1,1,1,0.260247406,0.033,1,283.7856693,0,0,1,4
7,grate,Task B ,2,4,1,1.673621582,0.135,2,10.37438325,0,0,4,8
7,grate,Task B ,2,4,0,0.110419287,0.067,1,333.4286156,0,0,3,8
8,grate,Task B ,1,2,1,0.091866613,0.135,1,318.5441173,0,0,4,3
8,grate,Task B ,2,3,1,-0.048081613,0.067,2,308.2087271,0,0,3,7
8,grate,Task B ,2,4,0,-0.542188315,0.135,1,188.0925829,0,0,4,8
8,grate,Task B ,2,3,1,1.023254413,0.135,2,329.703987,0,0,4,7
8,grate,Task B ,2,2,1,-0.738448337,0.05,2,31.16274569,0,0,2,6
8,grate,Task B ,2,4,0,-0.386899594,0.135,1,96.23701407,0,0,4,8
9,grate,Task B ,2,2,1,-0.528552598,0.033,2,177.6850894,0,0,1,6
9,grate,Task B ,1,2,0,-3.851070876,0.05,2,281.1433965,0,0,2,3
9,grate,Task B ,1,1,1,-0.009110642,0.05,1,31.55492571,0,0,2,4
9,grate,Task B ,2,2,0,-0.158912945,0.067,1,247.9893892,0,0,3,6
