subject_name,stim_type,task_type,resp_category,resp_confidence,resp_correct,stim_orientation,stim_reliability,stim_category,stim_phase,block_number,stim_frequency,stim_reliability_level
1,audio,Task B ,2,4,1,0,0.00019,2,186.4576551,0,2103.343368,3
1,audio,Task B ,2,2,1,0,0.00041,2,68.54786327,0,2952.428002,4
1,audio,Task B ,1,3,1,0,0.00019,1,287.8641154,0,2855.667681,3
1,audio,Task B ,1,2,1,0,9.00E-05,1,191.3306219,0,2867.371584,2
1,audio,Task B ,2,3,1,0,4.00E-05,2,28.70895001,0,2274.316932,1
1,audio,Task B ,2,3,1,0,4.00E-05,2,332.660967,0,2104.25421,1
2,audio,Task B ,2,1,1,0,9.00E-05,2,177.4289684,0,3209.471085,2
2,audio,Task B ,2,1,1,0,0.00019,2,22.60660968,0,1823.287898,3
2,audio,Task B ,2,1,0,0,4.00E-05,1,210.9589701,0,2699.806285,1
2,audio,Task B ,1,2,0,0,0.00041,2,349.4900883,0,2681.028539,4
2,audio,Task B ,2,3,1,0,0.00041,2,197.1792988,0,1579.315525,4
2,audio,Task B ,1,2,1,0,0.00041,1,293.0864696,0,2828.581555,4
3,audio,Task B ,1,3,1,0,4.00E-05,1,149.8989634,0,2577.958389,1
3,audio,Task B ,2,4,1,0,0.00041,2,302.3203777,0,3335.412803,4
3,audio,Task B ,1,3,0,0,9.00E-05,2,115.2665834,0,2715.339697,2
3,audio,Task B ,2,4,1,0,0.00019,2,201.5023284,0,3244.957989,3
3,audio,Task B ,1,3,1,0,0.00019,1,183.9800622,0,2734.781034,3
3,audio,Task B ,2,3,1,0,0.00019,2,132.5529053,0,3334.561631,3
4,audio,Task B ,1,1,1,0,4.00E-05,1,359.2481534,0,2777.275549,1
4,audio,Task B ,1,1,0,0,4.00E-05,2,241.9187751,0,3398.740132,1
4,audio,Task B ,1,1,0,0,9.00E-05,2,282.6576629,0,2797.830848,2
4,audio,Task B ,1,2,1,0,0.00019,1,97.09033291,0,2792.280716,3
4,audio,Task B ,1,2,1,0,9.00E-05,1,228.0188526,0,2859.020855,2
4,audio,Task B ,1,2,0,0,9.00E-05,2,10.52177099,0,2343.099549,2
5,audio,Task B ,2,1,0,0,4.00E-05,1,35.01907986,0,2559.90481,1
5,audio,Task B ,2,1,1,0,9.00E-05,2,350.4641129,0,2665.232586,2
5,audio,Task B ,2,3,0,0,0.00041,1,123.3533207,0,2606.514076,4
5,audio,Task B ,2,2,1,0,4.00E-05,2,288.6308394,0,1768.508432,1
5,audio,Task B ,1,2,1,0,0.00019,1,292.436475,0,2656.266966,3
5,audio,Task B ,1,3,1,0,0.00019,1,283.4539944,0,2841.5019,3
6,audio,Task B ,2,2,1,0,4.00E-05,2,192.5903026,0,2489.170736,1
6,audio,Task B ,2,3,0,0,9.00E-05,1,311.1984994,0,2783.876853,2
6,audio,Task B ,2,3,1,0,0.00019,2,272.0224764,0,2555.869838,3
6,audio,Task B ,1,3,1,0,0.00041,1,104.3439742,0,2714.317338,4
6,audio,Task B ,2,3,0,0,0.00041,1,240.1085067,0,2772.1956,4
