subject_name,stim_type,task_type,resp_category,resp_confidence,resp_correct,stim_orientation,stim_reliability,stim_category,stim_phase,block_number,stim_frequency,stim_reliability_level
1,bimodal,Task B ,1,2,1,0.788487379,1,1,306.6360692,1,2495.306541,1
1,bimodal,Task B ,2,2,0,-5.320532951,3,1,304.1420608,2,2817.874621,3
1,bimodal,Task B ,1,4,1,0.715673817,3,1,144.9971372,3,2646.207298,3
1,bimodal,Task B ,1,4,1,-2.081581147,4,1,146.5599234,4,2657.600846,4
1,bimodal,Task B ,1,4,1,-1.224758458,4,1,120.0732726,5,2805.026311,4
1,bimodal,Task B ,1,3,1,0.049303231,2,1,32.01485908,6,2727.803914,2
2,bimodal,Task B ,1,3,0,-6.461558433,2,2,39.93219486,1,2648.953661,2
2,bimodal,Task B ,2,3,1,-16.11666152,4,2,25.89971421,2,2709.921187,4
2,bimodal,Task B ,1,2,0,0.001919644,2,2,207.499309,3,1969.532745,2
2,bimodal,Task B ,1,1,0,-5.713072717,1,2,213.1535039,4,2517.597315,1
2,bimodal,Task B ,1,2,0,7.377217635,2,2,277.6151173,5,2661.559848,2
2,bimodal,Task B ,2,4,1,-25.02334723,2,2,9.523184387,6,3271.922189,2
3,bimodal,Task B ,2,4,1,-20.17411836,3,2,239.2477034,1,3318.649025,3
3,bimodal,Task B ,2,4,1,-17.28606428,3,2,212.7774274,2,2744.801178,3
3,bimodal,Task B ,1,4,1,-0.916782002,3,1,231.4001905,3,2663.669981,3
3,bimodal,Task B ,1,3,1,2.338391953,3,1,226.1972914,4,2551.463179,3
3,bimodal,Task B ,2,1,1,-7.528085154,2,2,25.71570393,5,3391.903397,2
3,bimodal,Task B ,1,4,1,3.455922684,2,1,169.0148726,6,2615.926122,2
4,bimodal,Task B ,1,3,0,-7.973444015,2,2,198.429522,1,2955.357294,2
4,bimodal,Task B ,1,2,1,-1.298693261,2,1,111.6709338,2,2769.580211,2
4,bimodal,Task B ,1,2,1,2.418869661,3,1,146.7187624,3,2774.80585,3
4,bimodal,Task B ,1,3,1,4.926908829,4,1,262.1584396,4,2781.126153,4
4,bimodal,Task B ,1,3,1,4.570973413,2,1,260.0879659,5,2744.369719,2
4,bimodal,Task B ,1,1,1,1.444380993,3,1,11.65000456,6,2729.428438,3
5,bimodal,Task B ,1,2,1,9.756123043,3,1,241.9518836,1,2727.071709,3
5,bimodal,Task B ,1,4,0,3.342774728,1,2,314.3035228,2,2718.65759,1
5,bimodal,Task B ,1,2,0,5.383513551,3,2,219.5685768,3,2834.232747,3
5,bimodal,Task B ,1,2,1,-3.631003957,1,1,34.93403303,4,2674.132239,1
5,bimodal,Task B ,2,3,1,-15.58382297,4,2,186.0978625,5,2358.039906,4
5,bimodal,Task B ,2,4,1,-18.15601176,1,2,355.3609238,6,2875.668066,1
6,bimodal,Task B ,1,3,1,-0.88030578,3,1,261.5188739,1,2727.865373,3
6,bimodal,Task B ,1,1,1,1.273837316,1,1,326.53037,2,2601.360633,1
6,bimodal,Task B ,1,2,0,-6.046048653,3,2,206.1048153,3,3166.346889,3
6,bimodal,Task B ,1,2,1,-0.722351886,4,1,44.30809216,4,2910.374188,4
6,bimodal,Task B ,1,2,1,-0.581236848,2,1,22.70491838,5,2533.897219,2
6,bimodal,Task B ,1,2,0,-5.303722494,4,2,164.8681618,6,2444.832975,4
7,bimodal,Task B ,1,2,1,-3.576732886,4,1,9.688367086,1,2563.466188,4
7,bimodal,Task B ,1,4,0,5.485620456,4,2,131.6119102,2,3368.727316,4
7,bimodal,Task B ,1,1,0,1.812107965,3,2,303.8449634,3,2605.65162,3
7,bimodal,Task B ,1,1,1,-0.757402005,1,1,309.2290842,4,2744.176207,1
7,bimodal,Task B ,1,4,1,3.399195631,4,1,276.8923996,5,2808.053099,4
7,bimodal,Task B ,2,1,1,-26.17679713,1,2,96.81197757,6,2292.704115,1
8,bimodal,Task B ,2,1,0,0.586951816,4,1,135.9091529,1,2861.339305,4
8,bimodal,Task B ,1,4,1,-0.59816568,2,1,40.94500375,2,2664.716684,2
8,bimodal,Task B ,2,4,1,-8.192827524,4,2,328.7742561,3,3146.329697,4
8,bimodal,Task B ,2,4,0,6.307142128,4,1,86.61066844,4,2660.906751,4
8,bimodal,Task B ,1,4,1,0.957108313,4,1,19.207578,5,2881.315972,4
8,bimodal,Task B ,1,4,1,1.987315548,2,1,283.3682847,6,2747.0348,2
9,bimodal,Task B ,1,1,0,23.4756983,3,2,90.20652102,1,3462.428261,3
9,bimodal,Task B ,1,1,1,-1.112202781,2,1,349.359525,2,2579.774998,2
9,bimodal,Task B ,2,3,1,8.349054188,4,2,125.9005702,3,2881.141098,4
9,bimodal,Task B ,1,2,1,4.007690741,3,1,17.3305811,4,2673.489948,3
9,bimodal,Task B ,1,1,1,1.578201715,1,1,330.3716822,5,2672.42268,1
9,bimodal,Task B ,1,1,1,4.307056643,2,1,250.5788912,6,2843.909698,2
10,bimodal,Task B ,1,1,1,-3.560576719,3,1,185.548412,1,2477.915976,3
10,bimodal,Task B ,2,1,1,-15.513067,1,2,118.9746015,2,2476.697256,1
10,bimodal,Task B ,1,1,1,-3.344350362,1,1,264.857772,3,2806.018152,1
10,bimodal,Task B ,1,1,0,1.266647498,2,2,59.41815219,4,3282.009507,2
10,bimodal,Task B ,2,1,1,5.948569398,3,2,347.844324,5,3666.979978,3
10,bimodal,Task B ,1,1,0,0.578107443,1,2,150.0518736,6,2804.386144,1
1,bimodal,Task B ,1,2,0,-9.110171856,1,2,180.5906723,1,1887.601961,1
1,bimodal,Task B ,1,3,0,3.208329974,3,2,222.5439691,2,2685.876256,3
1,bimodal,Task B ,1,4,1,-1.682184434,4,1,217.5643947,3,2770.866944,4
1,bimodal,Task B ,1,4,1,-1.219271214,3,1,166.6234866,4,2630.910549,3
1,bimodal,Task B ,1,4,1,1.128552287,3,1,90.81616428,5,2689.256712,3
1,bimodal,Task B ,1,4,1,3.414229161,4,1,312.1689542,6,2560.498291,4
2,bimodal,Task B ,2,2,0,-1.304364207,3,1,249.1839114,1,2684.695012,3
2,bimodal,Task B ,2,3,1,-7.647120345,4,2,341.2457489,2,3358.793676,4
2,bimodal,Task B ,1,2,1,2.069801015,2,1,47.16768653,3,2775.122036,2
