subject_name,stim_type,task_type,resp_category,resp_confidence,resp_correct,stim_orientation,stim_reliability,stim_category,stim_phase,block_number,stim_frequency,stim_reliability_level
1,grate,Task B ,2,2,1,-6.871128337,0.135,2,112.6457452,0,0,4
1,grate,Task B ,1,4,1,-1.596065234,0.135,1,234.0149921,0,0,4
1,grate,Task B ,1,3,1,4.889508282,0.05,1,289.848422,0,0,2
1,grate,Task B ,1,1,0,-8.909488251,0.033,2,119.3076894,0,0,1
1,grate,Task B ,2,4,1,15.91984371,0.135,2,40.56981637,0,0,4
1,grate,Task B ,1,2,0,12.60304245,0.033,2,153.8716083,0,0,1
2,grate,Task B ,1,1,1,3.426314275,0.05,1,8.335031625,0,0,2
2,grate,Task B ,1,1,0,-10.66317843,0.067,2,228.5483699,0,0,3
2,grate,Task B ,2,2,0,1.981356245,0.067,1,331.532549,0,0,3
2,grate,Task B ,1,1,0,-3.86307422,0.033,2,169.7985379,0,0,1
2,grate,Task B ,2,2,1,7.156663199,0.05,2,292.6490698,0,0,2
2,grate,Task B ,1,2,1,-5.515263706,0.067,1,26.4886867,0,0,3
3,grate,Task B ,1,3,1,-1.540077222,0.067,1,181.8665399,0,0,3
3,grate,Task B ,2,1,1,-9.321919146,0.033,2,278.2519724,0,0,1
3,grate,Task B ,2,4,1,3.821457678,0.067,2,279.7888161,0,0,3
3,grate,Task B ,2,4,1,-6.432906607,0.067,2,22.0861006,0,0,3
3,grate,Task B ,1,3,0,1.655984618,0.135,2,99.93678113,0,0,4
3,grate,Task B ,2,1,1,12.7249465,0.05,2,193.4807462,0,0,2
4,grate,Task B ,1,1,1,-2.467999894,0.067,1,79.50148437,0,0,3
4,grate,Task B ,1,1,0,-8.040268797,0.033,2,167.1577223,0,0,1
4,grate,Task B ,1,1,1,-0.50812564,0.033,1,296.9238807,0,0,1
4,grate,Task B ,1,4,0,-16.34208086,0.05,2,34.91827124,0,0,2
4,grate,Task B ,1,1,0,9.053088678,0.033,2,226.6900524,0,0,1
4,grate,Task B ,2,4,1,3.073100085,0.135,2,213.2496595,0,0,4
5,grate,Task B ,2,3,0,-5.440646805,0.135,1,12.94958527,0,0,4
5,grate,Task B ,1,3,1,-2.153460378,0.05,1,177.1495846,0,0,2
5,grate,Task B ,1,4,0,-0.887330933,0.135,2,104.9993315,0,0,4
5,grate,Task B ,2,4,1,11.40940366,0.067,2,123.4925827,0,0,3
5,grate,Task B ,1,4,1,-2.214541679,0.05,1,50.28542827,0,0,2
5,grate,Task B ,1,2,0,3.615675588,0.135,2,178.5073032,0,0,4
6,grate,Task B ,2,2,0,3.922670168,0.067,1,24.20603496,0,0,3
6,grate,Task B ,1,3,0,-5.98535559,0.033,2,230.2361456,0,0,1
6,grate,Task B ,1,3,0,5.579881304,0.067,2,316.6999079,0,0,3
6,grate,Task B ,1,3,0,4.085309038,0.05,2,278.5571054,0,0,2
6,grate,Task B ,1,3,1,0.17539264,0.067,1,3.330936059,0,0,3
6,grate,Task B ,2,1,0,-1.139338857,0.033,1,66.17556596,0,0,1
7,grate,Task B ,1,1,1,1.388209704,0.135,1,181.0076054,0,0,4
7,grate,Task B ,1,4,0,-5.156066721,0.033,2,0.365903558,0,0,1
7,grate,Task B ,1,1,1,0.247462937,0.033,1,248.0406861,0,0,1
7,grate,Task B ,1,1,1,2.266635403,0.033,1,283.7856693,0,0,1
7,grate,Task B ,2,4,1,14.67357787,0.135,2,10.37438325,0,0,4
7,grate,Task B ,2,4,0,0.951407714,0.067,1,333.4286156,0,0,3
