subject_name,stim_type,task_type,resp_category,resp_confidence,resp_correct,stim_orientation,stim_reliability,stim_category,stim_phase,block_number,stim_frequency,stim_reliability_level,cat1_evidence,cat2_evidence,evi_cat2,evi_allcat,visual_mostevidence,r
1,bimodal,Task B ,1,2,1,0.085483766,1,1,306.6360692,1,-0.564904108,1,0.000107274,2.43E-05,0.18494072,0.81505928,0,3
1,bimodal,Task B ,2,2,0,-0.621146837,3,1,304.1420608,2,0.323218665,3,5.65E-05,2.34E-05,0.292892462,0.707107538,1,6
1,bimodal,Task B ,1,4,1,0.077061419,3,1,144.9971372,3,-0.149430888,3,0.000376025,2.63E-05,0.065430189,0.934569811,0,1
1,bimodal,Task B ,1,4,1,-0.246497164,4,1,146.5599234,4,-0.118061171,4,0.000314965,2.60E-05,0.076351633,0.923648367,1,1
1,bimodal,Task B ,1,4,1,-0.147388453,4,1,120.0732726,5,0.287843569,4,0.000274347,2.58E-05,0.085995053,0.914004947,0,1
1,bimodal,Task B ,1,3,1,-1.77E-05,2,1,32.01485908,6,0.075228083,2,0.000413987,2.65E-05,0.060127869,0.939872131,0,2
2,bimodal,Task B ,1,3,0,-0.753129296,2,2,39.93219486,1,-0.14186936,2,3.84E-05,2.28E-05,0.372887963,0.627112037,1,2
2,bimodal,Task B ,2,3,1,-1.869935421,4,2,25.89971421,2,0.025991788,4,2.29E-10,1.08E-05,0.999978744,0.999978744,0,7
2,bimodal,Task B ,1,2,0,-0.005498552,2,2,207.499309,3,-2.012510708,2,1.63E-11,9.12E-06,0.999998213,0.999998213,1,3
2,bimodal,Task B ,1,1,0,-0.666551926,1,2,213.1535039,4,-0.503531191,1,2.39E-05,2.22E-05,0.48138156,0.51861844,1,4
2,bimodal,Task B ,1,2,0,0.847602434,2,2,277.6151173,5,-0.107160899,2,1.97E-05,2.19E-05,0.526547411,0.526547411,0,3
2,bimodal,Task B ,2,4,1,-2.900172081,2,2,9.523184387,6,1.573342314,2,9.42E-24,1.57E-06,1,1,0,8
3,bimodal,Task B ,2,4,1,-2.339261601,3,2,239.2477034,1,1.701994743,3,3.08E-19,3.00E-06,1,1,0,8
3,bimodal,Task B ,2,4,1,-2.005200281,3,2,212.7774274,2,0.122026443,3,2.46E-11,9.36E-06,0.999997375,0.999997375,0,8
3,bimodal,Task B ,1,4,1,-0.111764805,3,1,231.4001905,3,-0.101351095,3,0.0003883,2.64E-05,0.063612635,0.936387365,1,1
3,bimodal,Task B ,1,3,1,0.264761285,3,1,226.1972914,4,-0.410288719,3,0.00015461,2.49E-05,0.138727731,0.861272269,0,2
3,bimodal,Task B ,2,1,1,-0.876494481,2,2,25.71570393,5,1.903685115,2,4.05E-12,8.36E-06,0.999999516,0.999999516,1,5
3,bimodal,Task B ,1,4,1,0.394026105,2,1,169.0148726,6,-0.232803682,2,0.000174338,2.51E-05,0.125814494,0.874185506,1,1
4,bimodal,Task B ,1,3,0,-0.928009156,2,2,198.429522,1,0.701748037,2,1.54E-06,1.87E-05,0.92378153,0.92378153,0,2
4,bimodal,Task B ,1,2,1,-0.155940494,2,1,111.6709338,2,0.190250253,2,0.000330988,2.61E-05,0.073134884,0.926865116,0,3
4,bimodal,Task B ,1,2,1,0.274070144,3,1,146.7187624,3,0.204637942,3,0.000256361,2.57E-05,0.091125006,0.908874994,1,3
4,bimodal,Task B ,1,3,1,0.564175126,4,1,262.1584396,4,0.222039555,4,8.93E-05,2.41E-05,0.212344329,0.787655671,1,2
4,bimodal,Task B ,1,3,1,0.523004063,2,1,260.0879659,5,0.120838512,2,0.000124829,2.46E-05,0.164473869,0.835526131,1,2
4,bimodal,Task B ,1,1,1,0.161351004,3,1,11.65000456,6,0.079700865,3,0.000367636,2.63E-05,0.066735626,0.933264374,1,4
5,bimodal,Task B ,1,2,1,1.122770509,3,1,241.9518836,1,0.073212111,3,2.09E-06,1.90E-05,0.900857613,0.900857613,0,3
5,bimodal,Task B ,1,4,0,0.380938277,1,2,314.3035228,2,0.05004562,1,0.000225604,2.55E-05,0.101546426,0.898453574,1,1
5,bimodal,Task B ,1,2,0,0.616990611,3,2,219.5685768,3,0.368257295,3,4.77E-05,2.31E-05,0.326832741,0.673167259,1,3
5,bimodal,Task B ,1,2,1,-0.425718957,1,1,34.93403303,4,-0.072545488,1,0.000199705,2.53E-05,0.112461801,0.887538199,1,3
5,bimodal,Task B ,2,3,1,-1.808301967,4,2,186.0978625,5,-0.942838665,4,1.39E-11,9.03E-06,0.999998461,0.999998461,0,7
5,bimodal,Task B ,2,4,1,-2.105827137,1,2,355.3609238,6,0.482340655,1,1.76E-12,7.94E-06,0.999999778,0.999999778,0,8
6,bimodal,Task B ,1,3,1,-0.107545599,3,1,261.5188739,1,0.075397297,3,0.000396552,2.64E-05,0.062448294,0.937551706,1,2
6,bimodal,Task B ,1,1,1,0.141624211,1,1,326.53037,2,-0.272906666,1,0.000284067,2.59E-05,0.083464198,0.916535802,0,4
6,bimodal,Task B ,1,2,0,-0.705067265,3,2,206.1048153,3,1.282663124,3,5.29E-08,1.51E-05,0.996514613,0.996514613,1,3
6,bimodal,Task B ,1,2,1,-0.089275066,4,1,44.30809216,4,0.577896598,4,0.000100032,2.42E-05,0.195023492,0.804976508,0,3
6,bimodal,Task B ,1,2,1,-0.072952285,2,1,22.70491838,5,-0.458652863,2,0.000172269,2.51E-05,0.127050943,0.872949057,0,3
6,bimodal,Task B ,1,2,0,-0.619202371,4,2,164.8681618,6,-0.703872363,4,1.11E-05,2.11E-05,0.656062088,0.656062088,1,3
7,bimodal,Task B ,1,2,1,-0.41944142,4,1,9.688367086,1,-0.37724098,4,0.00011483,2.44E-05,0.175514016,0.824485984,1,3
7,bimodal,Task B ,1,4,0,0.62880132,4,2,131.6119102,2,1.839874693,4,4.86E-11,9.77E-06,0.999995023,0.999995023,1,1
7,bimodal,Task B ,1,1,0,0.203885997,3,2,303.8449634,3,-0.261092343,3,0.000265981,2.58E-05,0.088304713,0.911695287,0,4
7,bimodal,Task B ,1,1,1,-0.093329315,1,1,309.2290842,4,0.120305718,1,0.000386213,2.64E-05,0.063914259,0.936085741,0,4
7,bimodal,Task B ,1,4,1,0.387464485,4,1,276.8923996,5,0.296177188,4,0.000153726,2.49E-05,0.139370761,0.860629239,1,1
7,bimodal,Task B ,2,1,1,-3.033591672,1,2,96.81197757,6,-1.122726904,1,6.16E-23,1.76E-06,1,1,0,5
8,bimodal,Task B ,2,1,0,0.06217214,4,1,135.9091529,1,0.442889451,4,0.000181018,2.52E-05,0.121988359,0.878011641,0,5
8,bimodal,Task B ,1,4,1,-0.074910443,2,1,40.94500375,2,-0.098469221,2,0.000399811,2.64E-05,0.062000567,0.937999433,0,1
8,bimodal,Task B ,2,4,1,-0.953385255,4,2,328.7742561,3,1.227550032,4,1.74E-08,1.41E-05,0.998770204,0.998770204,1,8
8,bimodal,Task B ,2,4,0,0.723826762,4,1,86.61066844,4,-0.108959063,4,4.43E-05,2.30E-05,0.341894492,0.658105508,1,8
8,bimodal,Task B ,1,4,1,0.104988156,4,1,19.207578,5,0.497890965,4,0.000140865,2.48E-05,0.149489194,0.850510806,0,1
8,bimodal,Task B ,1,4,1,0.224152264,2,1,283.3682847,6,0.128176247,2,0.000317508,2.60E-05,0.075821634,0.924178366,1,1
9,bimodal,Task B ,1,1,0,2.709714278,3,2,90.20652102,1,2.097860365,3,1.79E-25,1.22E-06,1,1,0,4
9,bimodal,Task B ,1,1,1,-0.134369134,2,1,349.359525,2,-0.332338132,2,0.000249499,2.57E-05,0.093253581,0.906746419,0,4
9,bimodal,Task B ,2,3,1,0.960014804,4,2,125.9005702,3,0.497409487,4,3.09E-06,1.95E-05,0.863224251,0.863224251,0,7
9,bimodal,Task B ,1,2,1,0.457849136,3,1,17.3305811,4,-0.0743139,3,0.000170019,2.51E-05,0.12842416,0.87157584,1,3
9,bimodal,Task B ,1,1,1,0.176830052,1,1,330.3716822,5,-0.077252396,1,0.000360682,2.63E-05,0.06785923,0.93214077,1,4
9,bimodal,Task B ,1,1,1,0.492476801,2,1,250.5788912,6,0.394900726,2,7.81E-05,2.39E-05,0.23413564,0.76586436,1,4
